Anime,Recommendation,Agree Votes
10093,6989,0
10093,4605,0
10094,4959,0
10094,2832,0
10094,1898,0
10094,328,0
10094,6788,0
10094,2517,0
10094,4961,0
10094,1140,0
10094,4605,0
10094,5208,0
10096,7051,0
10096,11032,0
10096,9972,0
10096,5950,0
10096,2210,0
10096,2926,0
10096,11693,0
10096,13761,0
10096,10808,0
10096,3319,0
10097,15722,0
10097,13622,0
10097,15916,0
10097,15678,0
10097,15677,0
10097,11830,0
10097,16240,0
10097,13960,0
10097,12534,0
10097,10572,0
10098,12534,0
10098,10572,0
10098,15720,0
10098,9487,0
10098,12196,0
10098,10916,0
10098,15193,0
10098,13258,0
10098,15097,0
10098,11305,0
10099,11141,0
10099,15212,0
10099,7163,0
10099,1180,0
10099,9605,0
10099,14802,0
10099,12817,0
10099,9606,0
10099,10454,0
10099,10452,0
101,29,3
101,61,3
101,144,2
101,572,2
101,1789,2
101,16,2
101,52,1
101,108,1
101,128,1
101,6,1
101,729,1
101,92,1
101,451,1
101,823,1
101,44,1
101,1110,1
101,1154,1
101,638,1
101,2779,1
101,12006,1
101,29,3
101,61,3
101,144,2
101,572,2
101,1789,2
101,16,2
101,52,1
101,108,1
101,128,1
101,6,1
10100,7453,0
10100,15426,0
10100,11123,0
10100,10582,0
10100,4466,0
10100,2280,0
10100,11747,0
10100,9048,0
10100,14813,0
10100,15588,0
10101,7744,0
10101,14769,0
10101,667,0
10101,1792,0
10101,16526,0
10101,2242,0
10101,2241,0
10101,2243,0
10101,1687,0
10101,5332,0
10102,1608,0
10102,4725,0
10102,7491,0
10102,3191,0
10102,16591,0
10102,1600,0
10102,1773,0
10102,8651,0
10102,10624,0
10102,14787,0
10103,1608,0
10103,4725,0
10103,7491,0
10103,3191,0
10103,16591,0
10103,1600,0
10103,1773,0
10103,10624,0
10103,14787,0
10103,7343,0
10104,9602,0
10104,1387,0
10104,3489,0
10104,1201,0
10104,6717,0
10104,11780,0
10104,6015,0
10104,5424,0
10104,7148,0
10104,9250,0
10105,2081,3
10105,1136,2
10105,5368,1
10105,6646,1
10105,9010,1
10105,8587,1
10105,7781,1
10105,13631,1
10105,15974,1
10105,15822,1
10106,16119,0
10106,4224,0
10106,11832,0
10106,12437,0
10106,11122,0
10106,15716,0
10106,12675,0
10106,11936,0
10106,14191,0
10106,7366,0
10107,10176,0
10107,8721,0
10107,7026,0
10107,11125,0
10107,14875,0
10107,6815,0
10107,12031,0
10107,4550,0
10107,9013,0
10107,4851,0
10108,16275,0
10108,6689,0
10108,11022,0
10108,15679,0
10108,2478,0
10108,5658,0
10108,3037,0
10108,3038,0
10108,3036,0
10108,3035,0
10109,761,0
10109,11858,0
10109,9615,0
10109,8538,0
10109,10113,0
10109,11856,0
10109,10112,0
10109,13638,0
10109,13636,0
10109,13637,0
1011,695,2
1011,16559,0
1011,4382,0
1011,14259,0
1011,3965,0
1011,935,0
1011,11537,0
1011,11536,0
1011,11535,0
1011,8462,0
10110,761,0
10110,11858,0
10110,9615,0
10110,8538,0
10110,6433,0
10110,5681,0
10110,11856,0
10110,10113,0
10110,10112,0
10110,13638,0
10111,761,0
10111,11858,0
10111,9615,0
10111,8538,0
10111,6433,0
10111,5681,0
10111,11856,0
10111,10113,0
10111,10112,0
10111,13638,0
10112,11856,0
10112,13638,0
10112,13636,0
10112,13637,0
10112,13635,0
10112,11858,0
10112,10250,0
10112,10110,0
10112,10111,0
10112,10109,0
10113,11856,0
10113,13638,0
10113,13636,0
10113,13637,0
10113,13635,0
10113,11858,0
10113,10250,0
10113,10111,0
10113,10110,0
10113,10109,0
10114,13169,0
10114,13171,0
10114,13172,0
10114,13173,0
10114,13174,0
10114,13175,0
10114,13176,0
10114,13177,0
10114,13178,0
10114,13179,0
